suburb,state_code,suburb_normalized,winner_shop_number,winner_label,winner_distance_km,runner_up_shop_number,runner_up_label,runner_up_distance_km
Goolwa North,SA,goolwa north,5351,Ingle Farm,74.68,5281,Salisbury Downs,80.54
Goolwa South,SA,goolwa south,5351,Ingle Farm,78.03,5281,Salisbury Downs,83.87
Hindmarsh Island,SA,hindmarsh island,5351,Ingle Farm,78.53,5281,Salisbury Downs,84.41
Mosquito Hill,SA,mosquito hill,5351,Ingle Farm,67.51,5281,Salisbury Downs,73.23
Mundoo Island,SA,mundoo island,5351,Ingle Farm,84.24,5281,Salisbury Downs,90.16
Chain Of Ponds,SA,chain of ponds,5351,Ingle Farm,16.95,5281,Salisbury Downs,19.68
Kersbrook,SA,kersbrook,5351,Ingle Farm,19.3,5281,Salisbury Downs,20.76
Millbrook,SA,millbrook,5351,Ingle Farm,14.1,5281,Salisbury Downs,17.4
Cudlee Creek,SA,cudlee creek,5351,Ingle Farm,17.17,5281,Salisbury Downs,20.86
Forreston,SA,forreston,5351,Ingle Farm,23.33,5281,Salisbury Downs,25.28
Gumeracha,SA,gumeracha,5351,Ingle Farm,21.67,5281,Salisbury Downs,24.3
Kenton Valley,SA,kenton valley,5351,Ingle Farm,23.09,5281,Salisbury Downs,26.48
Warren,SA,warren,5351,Ingle Farm,28.79,5281,Salisbury Downs,30.4
